,,1756-EN2TR,PanelView 5510,Studio 5000 View Designer,Studio 5000 Logix Designer,1756-OB32,1756-OF8I,1756-IB32,1756-IF8I,1756-OB16D,1756-IB16,1756-OB16E,1756-IB16D,1783-ETAP2F,1756-L73S
Anomaly - Programming,GSV Instructions Do Not Work for Some Attributes (00169204),,,,,,,,,,,,,,
Anomaly - Programming,"IOT instruction may decompile incorrectly (Lgx00176073, Lgx00188026, Lgx00188027, Lgx00188028)",,,,Known Anomaly,,,,,,,,,,
Anomaly - Programming,Unconnected Timeout Time Incorrect (00171872),,,,,,,,,,,,,,
Anomaly - Redundancy,"Tracked State value for redundant controller may not be correct after a switchover (Lgx00189950, Lgx00190153)",,,,Known Anomaly,,,,,,,,,,
Anomaly - Safety,Major Non-recoverable Fault on Safety Controller (00178080),,,,,,,,,,,,,,
Anomaly - Safety,Produce Consume Communication Can Cause IO Status Indicators to Blink (Lgx00135976),,,,,,,,,,,,,,
Anomaly - Safety,Safety Controller Can Fault and Incorrectly Enter Program Mode After Power Is Cycled (00172782),,,,,,,,,,,,,,
Anomaly - Safety,Safety Fault if GuardLogix Controller Not CST Master (Lgx00104194),,,,,,,,,,,,,,
Anomaly - Safety,Safety Tag With Multicast Consuming Controllers,,,,,,,,,,,,,,
Anomaly - Security,Error when using Import to overwrite an existing locked component (Lgx00190571),,,,Known Anomaly,,,,,,,,,,
Anomaly - Security,Logix CPU Security Tool,,,,,,,,,,,,,,
Anomaly - Security,"When FactoryTalk Security Modify Logic access is denied, FBD properties are sometimes inaccessible (Lgx00184895)",,,,Known Anomaly,,,,,,,,,,
Functional Changes - General, Functional changes in Studio 5000 Logix Designer version 31.01,,,,Compatible,,,,,,,,,,
Functional Changes - General,1747-AENTR,,,,Compatible,,,,,,,,,,
Functional Changes - General,Adobe Flash Player AcitveX Control,,,,Compatible,,,,,,,,,,
Functional Changes - General,Behavior Changes in Logix5000 Controllers,,,,,,,,,,,,,,
Functional Changes - General,"Controller Information, Display in Window Header",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Controller Organizer, Inhibited Task Output Notifications",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Coordinated System Time, Master Check",,,,Compatible,,,,,,,,,,
Functional Changes - General,Date Change to Reference the Start Date of 1970,,,,Compatible,,,,,,,,,,
Functional Changes - General,Find All Context Menu,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional changes for Studio 5000 Logix Designer version 31.00.00,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional changes for Studio 5000 Logix Designer version 31.00.01,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional Changes for Studio 5000 View Designer 3.01,,,Compatible,,,,,,,,,,,
Functional Changes - General,Functional changes for Studio 5000 View Designer version 4.01,,,Compatible,,,,,,,,,,,
Functional Changes - General,Functional changes for Studio 5000 View Designer version 5.01,,,Compatible,,,,,,,,,,,
Functional Changes - General,Functional changes for Studio 5000 View Designer version 5.02,,,Compatible,,,,,,,,,,,
Functional Changes - General,Functional Changes in Studio 5000 Logix Designer version 30.00,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional Changes in Studio 5000 Logix Designer version 30.01,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional Changes in this release for Studio 5000 Logix Designer version 28.01,,,,Compatible,,,,,,,,,,
Functional Changes - General,Functional Changes in this release for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Functional Changes - General,Help Converted to HTML,,,,Compatible,,,,,,,,,,
Functional Changes - General,Keying CompactLogix Default Controller,,,,Compatible,,,,,,,,,,
Functional Changes - General,Language Editor with Auto-Sized Text Entry Field,,,,Compatible,,,,,,,,,,
Functional Changes - General,"LINT, 64 Bit Data Type",,,,Compatible,,,,,,,,,,
Functional Changes - General,MCT and MCTP Instructions Rotation Order ,,,,Compatible,,,,,,,,,,
Functional Changes - General,New in this release for Studio 5000 View Designer 2.03,,,Compatible,,,,,,,,,,,
Functional Changes - General,PLC_SLC Data Mapping Dialog Sorting,,,,Compatible,,,,,,,,,,
Functional Changes - General,"Quick View Pane, Mores Attributes and Viewing Options",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Quick Watch Window, Forcing Added",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Quick Watch Window, Toggle Bit Added",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Quick Watch Window, ToolTips and Tag Naming",,,,Compatible,,,,,,,,,,
Functional Changes - General,Reading SFC Chart Paused State via GSV,,,,Compatible,,,,,,,,,,
Functional Changes - General,Report Component Generation,,,,Compatible,,,,,,,,,,
Functional Changes - General,"Report, Controller Organizer",,,,Compatible,,,,,,,,,,
Functional Changes - General,Reporting on Controller Configuration,,,,Compatible,,,,,,,,,,
Functional Changes - General,Show Filter dialog box enhancements,,,,Compatible,,,,,,,,,,
Functional Changes - General,Source and Target Transform Dimensions Must Be Equal in MCT/MCTP Instructions,,,,,,,,,,,,,,
Functional Changes - General,System Features for Studio 5000 View Designer 3.01,,,Compatible,,,,,,,,,,,
Functional Changes - General,"Tag Browser, Mouse Scroll and Referenced Bit Picker",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Tag Descriptions, Added to ToolTips",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Tag Descriptions, Edit Base Tag From Alias",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Tag Descriptions, Maximum Length Extended",,,,Compatible,,,,,,,,,,
Functional Changes - General,"Tag Descriptions, Remove Unused ",,,,Compatible,,,,,,,,,,
Functional Changes - General,Tag Editor & Data Monitor Filter and Wildcard Filter enhancement,,,,Compatible,,,,,,,,,,
Functional Changes - General,Tag Filtering Enhancements,,,,Compatible,,,,,,,,,,
Functional Changes - General,"Tag Members, Alphabetical Sorting ",,,,Compatible,,,,,,,,,,
Functional Changes - General,Verification Warning if Always False Instruction,,,,Compatible,,,,,,,,,,
Functional Changes - General,Verification Warning if IO Forces Present,,,,Compatible,,,,,,,,,,
Functional Changes - General,View Designer overview,,,Compatible,,,,,,,,,,,
Functional Changes - General,Watchdog Attribute for Motion Group Removed,,,,,,,,,,,,,,
Functional Changes - Alarms and Events,Alarm Grid Display Mode Added to Tag Monitor,,,,Compatible,,,,,,,,,,
Functional Changes - CIP Sync,"CIP Sync, Check for Time Synchronization Mastership",,,,Compatible,,,,,,,,,,
Functional Changes - Communications EtherNetIP Network,EtherNet/IP Reduced Heartbeat,,,,Compatible,,,,,,,,,,
Functional Changes - Communications EtherNetIP Network,Generic Ethernet Module Extensions,,,,Compatible,,,,,,,,,,
Functional Changes - Communications General,"Hart Communications, Configuration Profiles Calibration",,,,Compatible,,,,,,,,,,
Functional Changes - Communications General,HMI Connectivity Performance Improvements,,,,Compatible,,,,,,,,,,
Functional Changes - Communications General,"Overhead Time Slice, Forced Usage",,,,Compatible,,,,,,,,,,
Functional Changes - Communications General,Produce/Consume Tag Structure Status,,,,Compatible,,,,,,,,,,
Functional Changes - Communications General,RSNetWorx Access Directly From the Controller Organizer,,,,Compatible,,,,,,,,,,
Functional Changes - Firmware Management,AutoFlash for SERCOS Drives,,,,Compatible,,,,,,,,,,
Functional Changes - Firmware Management,AutoFlash User Interface Prompting,,,,Compatible,,,,,,,,,,
Functional Changes - Firmware Management,Scripting Available for the ControlFLASH tool,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,Ability to Display Values on Input Pins,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,Delete Tags When Instruction Deleted,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,FBD Ability to Rename Input Wire & Output Wire Connectors,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,FBD Input and Output References Show Base Tag Name,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,FBD Keyboard Shortcuts Added,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,Increased Sheet Size,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,Option to Hide Tag Comments,,,,Compatible,,,,,,,,,,
Functional Changes - Function Block,Special Array Dialog Tab,,,,Compatible,,,,,,,,,,
Functional Changes - Import Export,"Case Change, Tag Name via CSV Import",,,,Compatible,,,,,,,,,,
Functional Changes - Import Export,Importing a UDT with an updated member list,,,,Compatible,,,,,,,,,,
Functional Changes - Import Export,"UDT, Data Preservation after Modified Partial Import",,,,Compatible,,,,,,,,,,
Functional Changes - Ladder Logic,Tag Name Wrapping in Ladder Editor,,,,Compatible,,,,,,,,,,
Functional Changes - Motion Analog,"M02AS_HYD02, Loss of Feedback Detection",,,,Compatible,,,,,,,,,,
Functional Changes - Motion Coordinated,Motion Coordinated Linear Move Instruction Change to Merge All,,,,,,,,,,,,,,
Functional Changes - Motion General,Custom Motor Conversion Tool,,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,"Delay Compensation, GSV/SSV Access",,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,"Drive Resolution, GSV Access to Axis ",,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,"MAOC Instruction, Extended Error Codes ",,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,Motion Axis Output Cam Expansion,,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,Motion Planner Enhancements,,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,"Power Loss, Configurable Fault Action",,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,S-Curve Stop Adjust via Dynamics Config Bits,,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,"Safe Off Mode, Active Status Axis Tags",,,,Compatible,,,,,,,,,,
Functional Changes - Motion General,Soft Overtravel Recovery Changes,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Behavior changes in ControlLogix 5570 controllers,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,"Destructive Bit, Duplicate Detection Default Setting",,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Equipment Phase Monitoring Enhancements,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Ladder Diagram Parameter Display Optimization Options,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Logic Display Kept Centered When Zooming,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,"Project Names, GSV Access ",,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Resizable Horizontal Scroll Bar in Language Editors,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Routine Type Selection During Creation,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,Shorted Branch Warning and Search Option,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,V21 Additional Memory Requirements,,,,,,,,,,,,,,
Functional Changes - Programming,V24 Additional Memory Requirements for Logix5000 Controllers,,,,Compatible,,,,,,,,,,
Functional Changes - Programming,V27 Additional Memory Requirements for Logix5000 Controllers,,,,,,,,,,,,,,
Functional Changes - Safety,"CIP Sync, Safety Communication Support",,,,Compatible,,,,,,,,,,
Functional Changes - Safety,"Signature, Reading via GSV Instruction",,,,Compatible,,,,,,,,,,
Functional Changes - Security,"Add-On Instructions, Granular Security Actions",,,,Compatible,,,,,,,,,,
Functional Changes - Security,"GuardLogix, Granular Security Actions for Safety Components ",,,,Compatible,,,,,,,,,,
Functional Changes - Security,Safety Signature Deletion in Run Mode Protection,,,,Compatible,,,,,,,,,,
Functional Changes - Security,Source Protected Routines in .L5K Export File,,,,Compatible,,,,,,,,,,
Functional Changes - Security,Source Protection Key Enhancements,,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,Array Faults Suppressed During Postscan of SFC Actions,,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,Overview Visible by Routine,,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,Paused State Read via GSV Instruction,,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,SFR Instruction Filters Types and Step Names,,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,"Step Timer ACC, Pause Management",,,,Compatible,,,,,,,,,,
Functional Changes - Sequential Function Charts,"Tag Indicator, Force Status ",,,,Compatible,,,,,,,,,,
Functional Changes - Structured Text,Horizontal Bar in ST Editor,,,,Compatible,,,,,,,,,,
Requirements, System requirements for Studio 5000 Logix Designer version 31.01,,,,Compatible,,,,,,,,,,
Requirements,Compatible Software for Controller Firmware Revision 29,,,,,,,,,,,,,,
Requirements,"PanelView 5510, and PanelView 5310 Firmware Revision 5.001 Compatibility",,Compatible,,,,,,,,,,,,
Requirements,"PanelView 5510, and PanelView 5310 Firmware Revision 5.002 Compatibility",,Compatible,,,,,,,,,,,,
Requirements,Security considerations,,,Compatible,,,,,,,,,,,
Requirements,Security considerations for Studio 5000 View Designer 2.03,,,Compatible,,,,,,,,,,,
Requirements,System Requirements for Studio 5000 Logix Designer version 30.00,,,,Compatible,,,,,,,,,,
Requirements,System requirements for Studio 5000 Logix Designer version 31.00.00,,,,Compatible,,,,,,,,,,
Requirements,System requirements for Studio 5000 Logix Designer version 31.00.01,,,,Compatible,,,,,,,,,,
Requirements,System requirements for Studio 5000 View Designer 2.03,,,Compatible,,,,,,,,,,,
Requirements,System Requirements for Studio 5000 View Designer 3.01,,,Compatible,,,,,,,,,,,
Requirements,System requirements for Studio 5000 View Designer version 4.01,,,Compatible,,,,,,,,,,,
Requirements,System requirements for Studio 5000 View Designer version 5.01,,,Compatible,,,,,,,,,,,
Requirements,System requirements for Studio 5000 View Designer version 5.02,,,Compatible,,,,,,,,,,,
Requirements,System Requirements Hardware requirements for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Requirements,System Requirements Installation notes for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Requirements,System Requirements Limits for Studio 5000 View Designer 2.02,,,Compatible,,,,,,,,,,,
Requirements,System Requirements Security considerations for Studio 5000 View Designer 2.02,,,Compatible,,,,,,,,,,,
Requirements,System Requirements Software requirements for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Application Notes, Application notes for Studio 5000 Logix Designer version 31.01,,,,Compatible,,,,,,,,,,
Application Notes, Legal Notices for Studio 5000 Logix Designer version 31.01,,,,Compatible,,,,,,,,,,
Application Notes,Application notes for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Application Notes,Application notes for Studio 5000 Logix Designer version 30.00,,,,Compatible,,,,,,,,,,
Application Notes,Application notes for Studio 5000 Logix Designer version 30.01,,,,Compatible,,,,,,,,,,
Application Notes,Application notes for Studio 5000 Logix Designer version 31.00.00,,,,Compatible,,,,,,,,,,
Application Notes,Application notes for Studio 5000 Logix Designer version 31.00.01,,,,Compatible,,,,,,,,,,
Application Notes,Application Notes for Studio 5000 View Designer 3.01,,,Compatible,,,,,,,,,,,
Application Notes,Application notes for Studio 5000 View Designer version 4.01,,,Compatible,,,,,,,,,,,
Application Notes,Application notes for Studio 5000 View Designer version 5.01,,,Compatible,,,,,,,,,,,
Application Notes,Application notes for Studio 5000 View Designer version 5.02,,,Compatible,,,,,,,,,,,
Application Notes,Application Notes Legal Notices for Studio 5000 Logix Designer version 31.00.00,,,,Compatible,,,,,,,,,,
Application Notes,Application Notes Legal Notices for Studio 5000 Logix Designer version 31.00.01,,,,Compatible,,,,,,,,,,
Application Notes,Application Notes Legal Notices for Studio 5000 View Designer 2.02,,,Compatible,,,,,,,,,,,
Application Notes,FactoryTalk Alarms and Events Systems That Use ALMA and ALMD Instructions,,,,Compatible,,,,,,,,,,
Application Notes,Firmware Compatibility,,,,,,,Compatible,,Compatible,,,,,
Application Notes,Firmware Upgrade Guidelines for Safety Controllers,,,,,,,,,,,,,,
Application Notes,I/O Connection,,Compatible,,,,,,,,,,,,
Application Notes,Invalid data type error after converting .ACD file,,,,Compatible,,,,,,,,,,
Application Notes,Legal Notices for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Application Notes,Legal Notices for Studio 5000 View Designer 2.03,,,Compatible,,,,,,,,,,,
Application Notes,Legal Notices for Studio 5000 View Designer version 4.01,,,Compatible,,,,,,,,,,,
Application Notes,Legal Notices for Studio 5000 View Designer version 5.01,,,Compatible,,,,,,,,,,,
Application Notes,Limits,,,Compatible,,,,,,,,,,,
Application Notes,Logix Designer Does Not Flash Controller Firmware (Lgx00156630),,,,Compatible,,,,,,,,,,
Application Notes,New Firmware File Format,,,,,,,,,,,,,,
Application Notes,"Out of IO Memory Error Reported on Download (Lgx00148858, Lgx00143901)",,,,,,,,,,,,,,
Application Notes,Project Limits,,Compatible,,,,,,,,,,,,
Product Updates and Replacements,Migrating 6-channel to 8-channel 1756 Analog Modules,,,,,,Direct Replacement,,Direct Replacement,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Reference Bookmark: https://compatibility.rockwellautomation.com/Pages/MultiProductCompareSelections.aspx?versions=52235,58264,58175,58254,878,56184,4189,56328,4212,851,874,51842,4086,56036&route=1",,,,,,,,,,,,,,,
